form	wsafter	testid	anas	lemma	xpostag
elkerülhetetlen	" "	.	[{"lemma": "elkerülhetetlen", "tag": "[/Adj][Nom]", "morphana": "el[/Prev]=el+kerül[/V]=kerül+hetetlen[_NegModPtcp/Adj]=hetetlen+[Nom]=", "readable": "el[/Prev] + kerül[/V] + hetetlen[_NegModPtcp/Adj] + [Nom]", "twolevel": "e:e l:l :[/Prev] k:k e:e r:r ü:ü l:l :[/V] h:h e:e t:t e:e t:t l:l e:e n:n :[_NegModPtcp/Adj] :[Nom]"}, {"lemma": "elkerülhetetlen", "tag": "[/Adj][_Manner:0/Adv]", "morphana": "el[/Prev]=el+kerül[/V]=kerül+hetetlen[_NegModPtcp/Adj]=hetetlen+[_Manner:0/Adv]=", "readable": "el[/Prev] + kerül[/V] + hetetlen[_NegModPtcp/Adj] + [_Manner:0/Adv]", "twolevel": "e:e l:l :[/Prev] k:k e:e r:r ü:ü l:l :[/V] h:h e:e t:t e:e t:t l:l e:e n:n :[_NegModPtcp/Adj] :[_Manner:0/Adv]"}, {"lemma": "elkerülhetetlen", "tag": "[/Adj][Nom]", "morphana": "elkerülhetetlen[/Adj]=elkerülhetetlen+[Nom]=", "readable": "elkerülhetetlen[/Adj] + [Nom]", "twolevel": "e:e l:l k:k e:e r:r ü:ü l:l h:h e:e t:t e:e t:t l:l e:e n:n :[/Adj] :[Nom]"}, {"lemma": "elkerülhetetlen", "tag": "[/Adj][_Manner:0/Adv]", "morphana": "elkerülhetetlen[/Adj]=elkerülhetetlen+[_Manner:0/Adv]=", "readable": "elkerülhetetlen[/Adj] + [_Manner:0/Adv]", "twolevel": "e:e l:l k:k e:e r:r ü:ü l:l h:h e:e t:t e:e t:t l:l e:e n:n :[/Adj] :[_Manner:0/Adv]"}]	elkerülhetetlen	[/Adj][Nom]
totális	" "	.	[{"lemma": "totális", "tag": "[/Adj][Nom]", "morphana": "totális[/Adj]=totális+[Nom]=", "readable": "totális[/Adj] + [Nom]", "twolevel": "t:t o:o t:t á:á l:l i:i s:s :[/Adj] :[Nom]"}]	totális	[/Adj][Nom]
civilizációs	" "	.	[{"lemma": "civilizációs", "tag": "[/Adj][Nom]", "morphana": "civilizáció[/N]=civilizáció+s[_Adjz:s/Adj]=s+[Nom]=", "readable": "civilizáció[/N] + s[_Adjz:s/Adj] + [Nom]", "twolevel": "c:c i:i v:v i:i l:l i:i z:z á:á c:c i:i ó:ó :[/N] s:s :[_Adjz:s/Adj] :[Nom]"}, {"lemma": "civilizációs", "tag": "[/N][Nom]", "morphana": "civilizáció[/N]=civilizáció+s[_Nz:s/N]=s+[Nom]=", "readable": "civilizáció[/N] + s[_Nz:s/N] + [Nom]", "twolevel": "c:c i:i v:v i:i l:l i:i z:z á:á c:c i:i ó:ó :[/N] s:s :[_Nz:s/N] :[Nom]"}]	civilizációs	[/Adj][Nom]
összeomlás	""	.	[{"lemma": "összeomlás", "tag": "[/N][Nom]", "morphana": "össze[/Prev]=össze+omlik[/V]=oml+ás[_Ger/N]=ás+[Nom]=", "readable": "össze[/Prev] + omlik[/V]=oml + ás[_Ger/N] + [Nom]", "twolevel": "ö:ö s:s s:s z:z e:e :[/Prev] o:o m:m l:l :i :k :[/V] á:á s:s :[_Ger/N] :[Nom]"}, {"lemma": "összeomlás", "tag": "[/N][Nom]", "morphana": "összeomlás[/N]=összeomlás+[Nom]=", "readable": "összeomlás[/N] + [Nom]", "twolevel": "ö:ö s:s s:s z:z e:e o:o m:m l:l á:á s:s :[/N] :[Nom]"}]	összeomlás	[/N][Nom]
.	"\n"	.	[{"lemma": ".", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	.	[Punct]

S	" "	.	[{"lemma": "S", "tag": "[/N][Nom]", "morphana": "S[/N|Abbr|ChemSym]=S+[Nom]=", "readable": "S[/N|Abbr|ChemSym] + [Nom]", "twolevel": "S:S :[/N|Abbr|ChemSym] :[Nom]"}, {"lemma": "s", "tag": "[/Cnj]", "morphana": "s[/Cnj]=s", "readable": "s[/Cnj]", "twolevel": "s:s :[/Cnj]"}, {"lemma": "s", "tag": "[/N][Nom]", "morphana": "s[/N|Ltr]=s+[Nom]=", "readable": "s[/N|Ltr] + [Nom]", "twolevel": "s:s :[/N|Ltr] :[Nom]"}, {"lemma": "s", "tag": "[/N][Nom]", "morphana": "s[/N|Unit|Abbr]=s+[Nom]=", "readable": "s[/N|Unit|Abbr] + [Nom]", "twolevel": "s:s :[/N|Unit|Abbr] :[Nom]"}]	s	[/Cnj]
le	" "	p3	[{"lemma": "le", "tag": "[/Prev]", "morphana": "le[/Prev]=le", "readable": "le[/Prev]", "twolevel": "l:l e:e :[/Prev]"}, {"lemma": "le", "tag": "[/X]", "morphana": "le[/X]=le", "readable": "le[/X]", "twolevel": "l:l e:e :[/X]"}]	le	[/Prev]
is	" "	.	[{"lemma": "is", "tag": "[/Adv]", "morphana": "is[/Adv]=is", "readable": "is[/Adv]", "twolevel": "i:i s:s :[/Adv]"}]	is	[/Adv]
van	" "	.	[{"lemma": "van", "tag": "[/V][Prs.NDef.3Sg]", "morphana": "van[/V]=van+[Prs.NDef.3Sg]=", "readable": "van[/V] + [Prs.NDef.3Sg]", "twolevel": "v:v a:a n:n :[/V] :[Prs.NDef.3Sg]"}]	van	[/V][Prs.NDef.3Sg]
írva	" "	v3	[{"lemma": "ír", "tag": "[/V][_AdvPtcp/Adv]", "morphana": "ír[/V]=ír+va[_AdvPtcp/Adv]=va", "readable": "ír[/V] + va[_AdvPtcp/Adv]", "twolevel": "í:í r:r :[/V] v:v a:a :[_AdvPtcp/Adv]"}]	ír	[/V][_AdvPtcp/Adv]
.	"\n"	.	[{"lemma": ".", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	.	[Punct]

Jaj	""	.	[{"lemma": "jaj", "tag": "[/Inj-Utt]", "morphana": "jaj[/Inj-Utt]=jaj", "readable": "jaj[/Inj-Utt]", "twolevel": "j:j a:a j:j :[/Inj-Utt]"}, {"lemma": "jaj", "tag": "[/N][Nom]", "morphana": "jaj[/N]=jaj+[Nom]=", "readable": "jaj[/N] + [Nom]", "twolevel": "j:j a:a j:j :[/N] :[Nom]"}]	jaj	[/Inj-Utt]
,	" "	.	[{"lemma": ",", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	,	[Punct]
annyi	" "	.	[{"lemma": "annyi", "tag": "[/Num|Pro][Nom]", "morphana": "annyi[/Num|Pro]=annyi+[Nom]=", "readable": "annyi[/Num|Pro] + [Nom]", "twolevel": "a:a n:n n:n y:y i:i :[/Num|Pro] :[Nom]"}]	annyi	[/Num|Pro][Nom]
a	" "	.	[{"lemma": "a", "tag": "[/Det|Art.Def]", "morphana": "a[/Det|Art.Def]=a", "readable": "a[/Det|Art.Def]", "twolevel": "a:a :[/Det|Art.Def]"}, {"lemma": "a", "tag": "[/Det|Pro|(Post)]", "morphana": "a[/Det|Pro|(Post)]=a", "readable": "a[/Det|Pro|(Post)]", "twolevel": "a:a :[/Det|Pro|(Post)]"}, {"lemma": "a", "tag": "[/N][Nom]", "morphana": "a[/N|Ltr]=a+[Nom]=", "readable": "a[/N|Ltr] + [Nom]", "twolevel": "a:a :[/N|Ltr] :[Nom]"}, {"lemma": "a", "tag": "[/N|Pro|(Post)][Nom]", "morphana": "a[/N|Pro|(Post)]=a+[Nom]=", "readable": "a[/N|Pro|(Post)] + [Nom]", "twolevel": "a:a :[/N|Pro|(Post)] :[Nom]"}]	a	[/Det|Art.Def]
gondom	""	.	[{"lemma": "gond", "tag": "[/N][Poss.1Sg][Nom]", "morphana": "gond[/N]=gond+om[Poss.1Sg]=om+[Nom]=", "readable": "gond[/N] + om[Poss.1Sg] + [Nom]", "twolevel": "g:g o:o n:n d:d :[/N] o:o m:m :[Poss.1Sg] :[Nom]"}]	gond	[/N][Poss.1Sg][Nom]
,	" "	.	[{"lemma": ",", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	,	[Punct]
hogy	" "	.	[{"lemma": "ahogy", "tag": "[/Adv|Pro|Rel]", "morphana": "ahogy[/Adv|Pro|Rel]=hogy", "readable": "ahogy[/Adv|Pro|Rel]=hogy", "twolevel": "h:a o:h g:o y:g :y :[/Adv|Pro|Rel]"}, {"lemma": "hogy", "tag": "[/Adv|Pro|Int]", "morphana": "hogy[/Adv|Pro|Int]=hogy", "readable": "hogy[/Adv|Pro|Int]", "twolevel": "h:h o:o g:g y:y :[/Adv|Pro|Int]"}, {"lemma": "hogy", "tag": "[/Cnj]", "morphana": "hogy[/Cnj]=hogy", "readable": "hogy[/Cnj]", "twolevel": "h:h o:o g:g y:y :[/Cnj]"}]	hogy	[/Cnj]
ki	" "	p4	[{"lemma": "aki", "tag": "[/N|Pro|Rel][Nom]", "morphana": "aki[/N|Pro|Rel]=ki+[Nom]=", "readable": "aki[/N|Pro|Rel]=ki + [Nom]", "twolevel": "k:a i:k :i :[/N|Pro|Rel] :[Nom]"}, {"lemma": "ki", "tag": "[/N|Pro][Nom]", "morphana": "ki[/N|Pro]=ki+[Nom]=", "readable": "ki[/N|Pro] + [Nom]", "twolevel": "k:k i:i :[/N|Pro] :[Nom]"}, {"lemma": "ki", "tag": "[/N|Pro|Int][Nom]", "morphana": "ki[/N|Pro|Int]=ki+[Nom]=", "readable": "ki[/N|Pro|Int] + [Nom]", "twolevel": "k:k i:i :[/N|Pro|Int] :[Nom]"}, {"lemma": "ki", "tag": "[/Prev]", "morphana": "ki[/Prev]=ki", "readable": "ki[/Prev]", "twolevel": "k:k i:i :[/Prev]"}]	ki	[/Prev]
sem	" "	.	[{"lemma": "sem", "tag": "[/Adv]", "morphana": "sem[/Adv]=sem", "readable": "sem[/Adv]", "twolevel": "s:s e:e m:m :[/Adv]"}, {"lemma": "sem", "tag": "[/Cnj]", "morphana": "sem[/Cnj]=sem", "readable": "sem[/Cnj]", "twolevel": "s:s e:e m:m :[/Cnj]"}]	sem	[/Adv]
látszom	" "	v4	[{"lemma": "látszik", "tag": "[/V][Prs.Def.1Sg]", "morphana": "látszik[/V]=látsz+om[Prs.Def.1Sg]=om", "readable": "látszik[/V]=látsz + om[Prs.Def.1Sg]", "twolevel": "l:l á:á t:t s:s z:z :i :k :[/V] o:o m:m :[Prs.Def.1Sg]"}, {"lemma": "látszik", "tag": "[/V][Prs.NDef.1Sg]", "morphana": "látszik[/V]=látsz+om[Prs.NDef.1Sg]=om", "readable": "látszik[/V]=látsz + om[Prs.NDef.1Sg]", "twolevel": "l:l á:á t:t s:s z:z :i :k :[/V] o:o m:m :[Prs.NDef.1Sg]"}]	látszik	[/V][Prs.NDef.1Sg]
belőle	""	.	[{"lemma": "ő", "tag": "[/N|Pro][Ela][3Sg]", "morphana": "ő[/N|Pro]=+belőle[Ela]=belől+e[3Sg]=e", "readable": "ő[/N|Pro]= + belőle[Ela]=belől + e[3Sg]", "twolevel": ":ő :[/N|Pro] b:b e:e l:l ő:ő l:l :e :[Ela] e:e :[ :3 :S :g :]"}]	ő	[/N|Pro][Ela][3Sg]
.	"\n"	.	[{"lemma": ".", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	.	[Punct]

Idő	" "	.	[{"lemma": "idő", "tag": "[/N][Nom]", "morphana": "idő[/N]=idő+[Nom]=", "readable": "idő[/N] + [Nom]", "twolevel": "i:i d:d ő:ő :[/N] :[Nom]"}]	idő	[/N][Nom]
kérdése	""	.	[{"lemma": "kérdés", "tag": "[/N][Poss.3Sg][Nom]", "morphana": "kérd[/V]=kérd+és[_Ger/N]=és+e[Poss.3Sg]=e+[Nom]=", "readable": "kérd[/V] + és[_Ger/N] + e[Poss.3Sg] + [Nom]", "twolevel": "k:k é:é r:r d:d :[/V] é:é s:s :[_Ger/N] e:e :[Poss.3Sg] :[Nom]"}, {"lemma": "kérdés", "tag": "[/N][Poss.3Sg][Nom]", "morphana": "kérdés[/N]=kérdés+e[Poss.3Sg]=e+[Nom]=", "readable": "kérdés[/N] + e[Poss.3Sg] + [Nom]", "twolevel": "k:k é:é r:r d:d é:é s:s :[/N] e:e :[Poss.3Sg] :[Nom]"}]	kérdés	[/N][Poss.3Sg][Nom]
,	" "	.	[{"lemma": ",", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	,	[Punct]
de	" "	.	[{"lemma": "de", "tag": "[/Adv]", "morphana": "de[/Adv]=de", "readable": "de[/Adv]", "twolevel": "d:d e:e :[/Adv]"}, {"lemma": "de", "tag": "[/Cnj]", "morphana": "de[/Cnj]=de", "readable": "de[/Cnj]", "twolevel": "d:d e:e :[/Cnj]"}, {"lemma": "de", "tag": "[/X]", "morphana": "de[/X]=de", "readable": "de[/X]", "twolevel": "d:d e:e :[/X]"}]	de	[/Cnj]
törvényszerűen	" "	.	[{"lemma": "törvényszerű", "tag": "[/Adj][_Manner/Adv]", "morphana": "törvény[/N]=törvény+szer[/N]=szer+ű[_Adjz:Ú/Adj]=ű+en[_Manner/Adv]=en", "readable": "törvény[/N] + szer[/N] + ű[_Adjz:Ú/Adj] + en[_Manner/Adv]", "twolevel": "t:t ö:ö r:r v:v é:é n:n y:y :[/N] s:s z:z e:e r:r :[/N] ű:ű :[_Adjz:Ú/Adj] e:e n:n :[_Manner/Adv]"}, {"lemma": "törvényszerű", "tag": "[/Adj][_Manner/Adv]", "morphana": "törvény[/N]=törvény+szerű[_Adjz_Type:szerű/Adj]=szerű+en[_Manner/Adv]=en", "readable": "törvény[/N] + szerű[_Adjz_Type:szerű/Adj] + en[_Manner/Adv]", "twolevel": "t:t ö:ö r:r v:v é:é n:n y:y :[/N] s:s z:z e:e r:r ű:ű :[_Adjz_Type:szerű/Adj] e:e n:n :[_Manner/Adv]"}, {"lemma": "törvényszerű", "tag": "[/Adj][_Manner/Adv]", "morphana": "törvényszerű[/Adj]=törvényszerű+en[_Manner/Adv]=en", "readable": "törvényszerű[/Adj] + en[_Manner/Adv]", "twolevel": "t:t ö:ö r:r v:v é:é n:n y:y s:s z:z e:e r:r ű:ű :[/Adj] e:e n:n :[_Manner/Adv]"}]	törvényszerű	[/Adj][_Manner/Adv]
alakul	" "	v5	[{"lemma": "alak", "tag": "[/N][Ess]", "morphana": "alak[/N]=alak+ul[Ess]=ul", "readable": "alak[/N] + ul[Ess]", "twolevel": "a:a l:l a:a k:k :[/N] u:u l:l :[Ess]"}, {"lemma": "alakul", "tag": "[/V][Prs.NDef.3Sg]", "morphana": "alakul[/V]=alakul+[Prs.NDef.3Sg]=", "readable": "alakul[/V] + [Prs.NDef.3Sg]", "twolevel": "a:a l:l a:a k:k u:u l:l :[/V] :[Prs.NDef.3Sg]"}]	alakul	[/V][Prs.NDef.3Sg]
majd	" "	.	[{"lemma": "majd", "tag": "[/Adv]", "morphana": "majd[/Adv]=majd", "readable": "majd[/Adv]", "twolevel": "m:m a:a j:j d:d :[/Adv]"}]	majd	[/Adv]
ki	" "	p5	[{"lemma": "aki", "tag": "[/N|Pro|Rel][Nom]", "morphana": "aki[/N|Pro|Rel]=ki+[Nom]=", "readable": "aki[/N|Pro|Rel]=ki + [Nom]", "twolevel": "k:a i:k :i :[/N|Pro|Rel] :[Nom]"}, {"lemma": "ki", "tag": "[/N|Pro][Nom]", "morphana": "ki[/N|Pro]=ki+[Nom]=", "readable": "ki[/N|Pro] + [Nom]", "twolevel": "k:k i:i :[/N|Pro] :[Nom]"}, {"lemma": "ki", "tag": "[/N|Pro|Int][Nom]", "morphana": "ki[/N|Pro|Int]=ki+[Nom]=", "readable": "ki[/N|Pro|Int] + [Nom]", "twolevel": "k:k i:i :[/N|Pro|Int] :[Nom]"}, {"lemma": "ki", "tag": "[/Prev]", "morphana": "ki[/Prev]=ki", "readable": "ki[/Prev]", "twolevel": "k:k i:i :[/Prev]"}]	ki	[/Prev]
végül	" "	.	[{"lemma": "vég", "tag": "[/N][Ess]", "morphana": "vég[/N]=vég+ül[Ess]=ül", "readable": "vég[/N] + ül[Ess]", "twolevel": "v:v é:é g:g :[/N] ü:ü l:l :[Ess]"}, {"lemma": "végül", "tag": "[/Adv]", "morphana": "végül[/Adv]=végül", "readable": "végül[/Adv]", "twolevel": "v:v é:é g:g ü:ü l:l :[/Adv]"}]	végül	[/Adv]
az	" "	.	[{"lemma": "az", "tag": "[/Det|Art.Def]", "morphana": "az[/Det|Art.Def]=az", "readable": "az[/Det|Art.Def]", "twolevel": "a:a z:z :[/Det|Art.Def]"}, {"lemma": "az", "tag": "[/Det|Pro][Nom]", "morphana": "az[/Det|Pro]=az+[Nom]=", "readable": "az[/Det|Pro] + [Nom]", "twolevel": "a:a z:z :[/Det|Pro] :[Nom]"}, {"lemma": "az", "tag": "[/N|Pro][Nom]", "morphana": "az[/N|Pro]=az+[Nom]=", "readable": "az[/N|Pro] + [Nom]", "twolevel": "a:a z:z :[/N|Pro] :[Nom]"}]	az	[/Det|Pro][Nom]
a	" "	.	[{"lemma": "a", "tag": "[/Det|Art.Def]", "morphana": "a[/Det|Art.Def]=a", "readable": "a[/Det|Art.Def]", "twolevel": "a:a :[/Det|Art.Def]"}, {"lemma": "a", "tag": "[/Det|Pro|(Post)]", "morphana": "a[/Det|Pro|(Post)]=a", "readable": "a[/Det|Pro|(Post)]", "twolevel": "a:a :[/Det|Pro|(Post)]"}, {"lemma": "a", "tag": "[/N][Nom]", "morphana": "a[/N|Ltr]=a+[Nom]=", "readable": "a[/N|Ltr] + [Nom]", "twolevel": "a:a :[/N|Ltr] :[Nom]"}, {"lemma": "a", "tag": "[/N|Pro|(Post)][Nom]", "morphana": "a[/N|Pro|(Post)]=a+[Nom]=", "readable": "a[/N|Pro|(Post)] + [Nom]", "twolevel": "a:a :[/N|Pro|(Post)] :[Nom]"}]	a	[/Det|Art.Def]
bizonyos	" "	.	[{"lemma": "bizonyos", "tag": "[/Adj][Nom]", "morphana": "bizonyos[/Adj]=bizonyos+[Nom]=", "readable": "bizonyos[/Adj] + [Nom]", "twolevel": "b:b i:i z:z o:o n:n y:y o:o s:s :[/Adj] :[Nom]"}]	bizonyos	[/Adj][Nom]
új	" "	.	[{"lemma": "új", "tag": "[/Adj][Nom]", "morphana": "új[/Adj]=új+[Nom]=", "readable": "új[/Adj] + [Nom]", "twolevel": "ú:ú j:j :[/Adj] :[Nom]"}]	új	[/Adj][Nom]
istenű	" "	.	[{"lemma": "istenű", "tag": "[/Adj][Nom]", "morphana": "isten[/N]=isten+ű[_Adjz:Ú/Adj]=ű+[Nom]=", "readable": "isten[/N] + ű[_Adjz:Ú/Adj] + [Nom]", "twolevel": "i:i s:s t:t e:e n:n :[/N] ű:ű :[_Adjz:Ú/Adj] :[Nom]"}]	istenű	[/Adj][Nom]
és	" "	.	[{"lemma": "és", "tag": "[/Cnj]", "morphana": "és[/Cnj]=és", "readable": "és[/Cnj]", "twolevel": "é:é s:s :[/Cnj]"}]	és	[/Cnj]
új	" "	.	[{"lemma": "új", "tag": "[/Adj][Nom]", "morphana": "új[/Adj]=új+[Nom]=", "readable": "új[/Adj] + [Nom]", "twolevel": "ú:ú j:j :[/Adj] :[Nom]"}]	új	[/Adj][Nom]
módon	" "	.	[{"lemma": "mód", "tag": "[/N][Supe]", "morphana": "mód[/N]=mód+on[Supe]=on", "readable": "mód[/N] + on[Supe]", "twolevel": "m:m ó:ó d:d :[/N] o:o n:n :[Supe]"}]	mód	[/N][Supe]
értelmes	" "	.	[{"lemma": "értelmes", "tag": "[/Adj][Nom]", "morphana": "értelem[/N]=értelm+es[_Adjz:s/Adj]=es+[Nom]=", "readable": "értelem[/N]=értelm + es[_Adjz:s/Adj] + [Nom]", "twolevel": "é:é r:r t:t e:e l:l :e m:m :[/N] e:e s:s :[_Adjz:s/Adj] :[Nom]"}, {"lemma": "értelmes", "tag": "[/N][Nom]", "morphana": "értelem[/N]=értelm+es[_Nz:s/N]=es+[Nom]=", "readable": "értelem[/N]=értelm + es[_Nz:s/N] + [Nom]", "twolevel": "é:é r:r t:t e:e l:l :e m:m :[/N] e:e s:s :[_Nz:s/N] :[Nom]"}, {"lemma": "értelmes", "tag": "[/Adj][Nom]", "morphana": "értelmes[/Adj]=értelmes+[Nom]=", "readable": "értelmes[/Adj] + [Nom]", "twolevel": "é:é r:r t:t e:e l:l m:m e:e s:s :[/Adj] :[Nom]"}]	értelmes	[/Adj][Nom]
világ	""	.	[{"lemma": "világ", "tag": "[/N][Nom]", "morphana": "világ[/N]=világ+[Nom]=", "readable": "világ[/N] + [Nom]", "twolevel": "v:v i:i l:l á:á g:g :[/N] :[Nom]"}]	világ	[/N][Nom]
,	" "	.	[{"lemma": ",", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	,	[Punct]
aminek	" "	.	[{"lemma": "ami", "tag": "[/N|Pro|Rel][Dat]", "morphana": "ami[/N|Pro|Rel]=ami+nek[Dat]=nek", "readable": "ami[/N|Pro|Rel] + nek[Dat]", "twolevel": "a:a m:m i:i :[/N|Pro|Rel] n:n e:e k:k :[Dat]"}]	ami	[/N|Pro|Rel][Dat]
el	" "	p6	[{"lemma": "el", "tag": "[/Prev]", "morphana": "el[/Prev]=el", "readable": "el[/Prev]", "twolevel": "e:e l:l :[/Prev]"}]	el	[/Prev]
kell	" "	.	[{"lemma": "kell", "tag": "[/V][Prs.NDef.3Sg]", "morphana": "kell[/V]=kell+[Prs.NDef.3Sg]=", "readable": "kell[/V] + [Prs.NDef.3Sg]", "twolevel": "k:k e:e l:l l:l :[/V] :[Prs.NDef.3Sg]"}]	kell	[/V][Prs.NDef.3Sg]
jönnie	" "	v6	[{"lemma": "jön", "tag": "[/V][Inf.3Sg]", "morphana": "jön[/V]=jön+nie[Inf.3Sg]=nie", "readable": "jön[/V] + nie[Inf.3Sg]", "twolevel": "j:j ö:ö n:n :[/V] n:n i:i e:e :[Inf.3Sg]"}]	jön	[/V][Inf.3Sg]
...	"\n"	.	[{"lemma": "...", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	...	[Punct]

Menne	" "	.	[{"lemma": "megy", "tag": "[/V][Cond.NDef.3Sg]", "morphana": "megy[/V]=men+ne[Cond.NDef.3Sg]=ne", "readable": "megy[/V]=men + ne[Cond.NDef.3Sg]", "twolevel": "m:m e:e n:g :y :[/V] n:n e:e :[Cond.NDef.3Sg]"}]	megy	[/V][Cond.NDef.3Sg]
ő	" "	.	[{"lemma": "ő", "tag": "[/N][Nom]", "morphana": "ő[/N|Ltr]=ő+[Nom]=", "readable": "ő[/N|Ltr] + [Nom]", "twolevel": "ő:ő :[/N|Ltr] :[Nom]"}, {"lemma": "ő", "tag": "[/N|Pro][3Sg][Nom]", "morphana": "ő[/N|Pro]=ő+[3Sg]=+[Nom]=", "readable": "ő[/N|Pro] + [3Sg] + [Nom]", "twolevel": "ő:ő :[/N|Pro] :[ :3 :S :g :] :[Nom]"}]	ő	[/N|Pro][3Sg][Nom]
is	" "	.	[{"lemma": "is", "tag": "[/Adv]", "morphana": "is[/Adv]=is", "readable": "is[/Adv]", "twolevel": "i:i s:s :[/Adv]"}]	is	[/Adv]
